simulations	actions	length	tokens	accuracy
15	15	16	524.1933701657458	0.6519337016574586
50	45	16	996.0718232044198	0.8066298342541437
5	35	16	510.74309392265195	0.7044198895027625
45	50	12	989.5165745856353	0.8038674033149171
120	60	30	1289.585635359116	0.8232044198895028
50	15	12	804.1546961325967	0.6574585635359116
160	180	80	1589.5939226519338	0.8342541436464088
45	15	8	745.7762430939226	0.6740331491712708
80	60	50	1252.8839779005525	0.8287292817679558
45	35	16	930.8232044198895	0.7790055248618785
25	15	12	698.2127071823204	0.6464088397790055
800	600	300	3491.657458563536	0.850828729281768
5	6	12	243.10773480662982	0.4088397790055249
850	635	320	3798.1187845303866	0.8425414364640884
140	140	80	1437.1519337016575	0.850828729281768
